UniProt_Proteome_ID IDR
UP000030322	0.0707
UP000007387	0.0725
UP000010363	0.0686
UP000002614	0.0735
UP000000339	0.0692
UP000231470	0.0679
UP000201337	0.0863
UP000241345	0.0667
UP000015925	0.0573
UP000008167	0.2187
UP000136399	0.2011
UP000004992	0.1798
UP000143664	0.1699
UP000121920	0.1929
UP000110521	0.2007
UP000143713	0.1430
UP000110857	0.1778
UP000172265	0.1793
UP000155350	0.1625
UP000168915	0.1624
UP000109192	0.1650
UP000151515	0.1349
UP000151521	0.1113
UP000120055	0.1345
UP000122874	0.1465
UP000100733	0.1427
UP000113833	0.1603
UP000171189	0.1804
UP000170217	0.1741
UP000098205	0.1977
UP000152074	0.1496
UP000130591	0.1536
UP000125770	0.1280
UP000120727	0.1352
UP000166795	0.1838
UP000115299	0.1220
UP000134836	0.1390
UP000114612	0.1811
UP000158640	0.1317
UP000113783	0.1423
UP000173083	0.1757
UP000134610	0.1293
UP000155737	0.1749
UP000140422	0.1222
UP000105586	0.1640
UP000110325	0.1250
UP000161385	0.1589
UP000162444	0.1157
UP000134463	0.1642
UP000004993	0.1008
UP000123387	0.1270
UP000118097	0.1118
UP000139114	0.1113
UP000112894	0.1426
UP000136605	0.1393
UP000201862	0.1429
UP000132615	0.1315
UP000001594	0.1243
UP000099345	0.0950
UP000169495	0.1507
UP000116231	0.1365
UP000204594	0.1292
UP000129765	0.1450
UP000128946	0.1551
UP000161081	0.1542
UP000201603	0.1213
UP000158144	0.1202
UP000150644	0.1061
UP000141842	0.1191
UP000241841	0.1305
UP000120888	0.1310
UP000142830	0.1376
UP000162613	0.1026
UP000107383	0.1388
UP000169225	0.1202
UP000128218	0.1122
UP000232640	0.1077
UP000113541	0.1318
UP000118842	0.0967
UP000201673	0.1262
UP000201505	0.1143
UP000102399	0.0950
UP000133496	0.1002
UP000108481	0.0961
UP000173328	0.0869
UP000162892	0.0640
UP000163971	0.0746
UP000009247	0.0726
UP000150550	0.0612
UP000218501	0.0777
UP000152383	0.0296
UP000152153	0.0596
UP000126130	0.0977
UP000172814	0.0735
UP000154597	0.0626
UP000169752	0.1971
UP000011239	0.1266
UP000101183	0.1738
UP000118426	0.1401
UP000007643	0.1016
UP000011238	0.1062
UP000120576	0.0852
UP000203507	0.0592
UP000203836	0.2055
UP000202475	0.1792
UP000201104	0.1364
UP000202027	0.1990
UP000001664	0.1450
UP000203883	0.1668
UP000203135	0.1651
UP000203453	0.1645
UP000203181	0.1701
UP000001663	0.1338
UP000009190	0.1349
UP000000394	0.1158
UP000202928	0.1575
UP000203501	0.1728
UP000008689	0.1219
UP000201462	0.1029
UP000203962	0.1514
UP000202441	0.1662
UP000202617	0.1351
UP000204401	0.0820
UP000204090	0.1367
UP000201713	0.0942
UP000203966	0.1002
UP000201535	0.1017
UP000008623	0.0855
UP000204278	0.0951
UP000201055	0.1171
UP000204100	0.0935
UP000201433	0.0836
UP000202653	0.1329
UP000235595	0.1154
UP000202860	0.1104
UP000201790	0.1130
UP000008687	0.0680
UP000007225	0.1095
UP000203745	0.0955
UP000202465	0.0763
UP000232739	0.0799
UP000204265	0.0593
UP000202954	0.0714
UP000202277	0.0680
UP000201208	0.0205
